session_date,direction,signal_timestamp,entry_timestamp,exit_timestamp,entry_price,exit_price,stop_price,target_price,risk_per_share,pnl_per_share,r_multiple,exit_reason,or_high,or_low,vwap_at_signal,setup_type
2026-01-02,LONG,20260102  15:50:00,20260102  15:55:00,20260102  16:55:00,192.31,189.57,189.57,195.05,2.740000000000009,-2.740000000000009,-1.0,STOP,191.92,189.57,191.4081894772573,CONTINUATION
2026-01-05,LONG,20260105  16:00:00,20260105  16:05:00,20260105  16:40:00,190.16,189.39,189.39,191.69,0.7700000000000102,-0.7700000000000102,-1.0,STOP,193.63,189.75,191.19735306002883,REVERSAL
2026-01-06,LONG,20260106  15:50:00,20260106  15:55:00,20260106  16:55:00,191.58,188.98,188.98,194.18000000000004,2.6000000000000227,-2.6000000000000227,-1.0,STOP,190.98,188.98,190.57492920803293,CONTINUATION
2026-01-07,LONG,20260107  15:55:00,20260107  16:00:00,20260107  21:55:00,190.1,189.24,186.56,193.64,3.539999999999992,-0.8599999999999852,-0.242937853107341,SESSION_CLOSE,188.69,186.56,188.44551079252216,CONTINUATION
2026-01-08,SHORT,20260108  15:50:00,20260108  15:55:00,20260108  21:55:00,186.1,185.1,189.55,182.64999999999998,3.450000000000017,1.0,0.2898550724637667,SESSION_CLOSE,189.55,186.91,187.37724391348738,CONTINUATION
2026-01-09,LONG,20260109  20:10:00,20260109  20:15:00,20260109  21:55:00,185.86,184.85,183.67,188.05000000000004,2.190000000000026,-1.0100000000000193,-0.46118721461187545,SESSION_CLOSE,185.83,183.67,185.00186237704588,CONTINUATION
2026-01-12,LONG,20260112  18:25:00,20260112  18:30:00,20260112  21:55:00,186.28,184.89,183.1,189.46,3.180000000000007,-1.3900000000000148,-0.43710691823899744,SESSION_CLOSE,186.2,183.1,185.02417538784067,CONTINUATION
2026-01-13,LONG,20260113  16:30:00,20260113  16:35:00,20260113  16:40:00,183.97,183.61,183.61,184.385,0.3599999999999852,-0.3599999999999852,-1.0,STOP,185.14,183.63,184.2879196073675,REVERSAL
2026-01-14,SHORT,20260114  16:00:00,20260114  16:05:00,20260114  21:55:00,180.99,183.21,184.46,177.52,3.469999999999999,-2.219999999999999,-0.6397694524495676,SESSION_CLOSE,184.46,181.79,182.4748220788254,CONTINUATION
2026-01-15,SHORT,20260115  15:45:00,20260115  15:50:00,20260115  16:25:00,188.55,187.59,189.18,187.59,0.6299999999999955,0.960000000000008,1.5238095238095475,TARGET,188.82,186.36,187.65837621674615,REVERSAL
2026-01-16,LONG,20260116  16:00:00,20260116  16:05:00,20260116  16:15:00,188.94,188.45,188.45,189.525,0.4900000000000091,-0.4900000000000091,-1.0,STOP,190.37,188.68,189.5152217427847,REVERSAL
2026-01-20,LONG,20260120  15:55:00,20260120  16:00:00,20260120  16:30:00,179.92,181.035,179.58,181.035,0.339999999999975,1.115000000000009,3.2794117647061505,TARGET,182.38,179.69,180.68007415011246,REVERSAL
2026-01-21,LONG,20260121  15:55:00,20260121  16:00:00,20260121  16:50:00,180.4,182.38000000000002,178.42,182.38000000000002,1.9800000000000182,1.9800000000000182,1.0,TARGET,180.17,178.42,179.68293674917481,CONTINUATION
2026-01-22,LONG,20260122  16:00:00,20260122  16:05:00,20260122  16:25:00,184.27,185.135,183.93,185.135,0.3400000000000034,0.8649999999999807,2.544117647058741,TARGET,186.16,184.11,184.8161840508814,REVERSAL
2026-01-26,LONG,20260126  16:00:00,20260126  16:05:00,20260126  16:10:00,187.3,186.85,186.85,188.07,0.45000000000001705,-0.45000000000001705,-1.0,STOP,189.12,187.02,187.9145886842402,REVERSAL
2026-01-27,LONG,20260127  16:00:00,20260127  16:05:00,20260127  21:55:00,188.06,188.53,185.7,190.42000000000002,2.3600000000000136,0.46999999999999886,0.19915254237287972,SESSION_CLOSE,187.4,185.7,186.8075810200037,CONTINUATION
2026-01-28,SHORT,20260128  16:00:00,20260128  16:05:00,20260128  16:30:00,191.77,191.22500000000002,192.35,191.22500000000002,0.5799999999999841,0.5449999999999875,0.9396551724137974,TARGET,192.33,190.12,191.54897585419533,REVERSAL
2026-01-29,SHORT,20260129  16:05:00,20260129  16:10:00,20260129  21:55:00,189.36,192.43,193.48,185.24000000000004,4.119999999999976,-3.069999999999993,-0.7451456310679638,SESSION_CLOSE,193.48,190.15,191.0518712875959,CONTINUATION
2026-01-30,SHORT,20260130  16:20:00,20260130  16:25:00,20260130  16:25:00,192.69,191.94,193.43,191.94,0.7400000000000091,0.75,1.0135135135135012,TARGET,192.98,190.9,192.2557678549579,REVERSAL
2026-02-02,LONG,20260202  16:15:00,20260202  16:20:00,20260202  21:25:00,189.04,186.6,186.6,191.48,2.4399999999999977,-2.4399999999999977,-1.0,STOP,188.03,186.6,187.44933537448972,CONTINUATION
2026-02-03,SHORT,20260203  16:00:00,20260203  16:05:00,20260203  20:45:00,181.51,176.74999999999997,186.27,176.74999999999997,4.760000000000019,4.760000000000019,1.0,TARGET,186.27,182.78,183.2873661010288,CONTINUATION
2026-02-04,LONG,20260204  16:10:00,20260204  16:15:00,20260204  16:30:00,178.02,176.62,176.62,178.385,1.4000000000000057,-1.4000000000000057,-1.0,STOP,179.57,177.2,178.20531218267706,REVERSAL
2026-02-05,SHORT,20260205  16:05:00,20260205  16:10:00,20260205  18:25:00,173.21,175.76,175.76,170.66000000000003,2.549999999999983,-2.549999999999983,-1.0,STOP,175.76,173.68,174.8644433012755,CONTINUATION
2026-02-06,LONG,20260206  15:50:00,20260206  15:55:00,20260206  21:55:00,181.25,185.32,174.6,187.9,6.650000000000006,4.069999999999993,0.6120300751879684,SESSION_CLOSE,179.98,174.6,178.8867965096491,CONTINUATION
2026-02-09,LONG,20260209  15:50:00,20260209  15:55:00,20260209  21:55:00,191.52,189.79,183.93,199.11,7.590000000000003,-1.7300000000000182,-0.22793148880105632,SESSION_CLOSE,190.94,183.93,190.12998294063672,CONTINUATION
2026-02-10,SHORT,20260210  16:05:00,20260210  16:10:00,20260210  21:55:00,189.06,188.61,192.48,185.64000000000001,3.4199999999999875,0.44999999999998863,0.13157894736841821,SESSION_CLOSE,192.48,189.2,189.87747192151605,CONTINUATION
2026-02-11,SHORT,20260211  16:05:00,20260211  16:10:00,20260211  21:55:00,190.53,190.04,193.2,187.86,2.6699999999999875,0.4900000000000091,0.1835205992509406,SESSION_CLOSE,193.2,190.99,191.9316147624208,CONTINUATION
2026-02-12,SHORT,20260212  16:00:00,20260212  16:05:00,20260212  17:20:00,191.13,188.64999999999998,193.61,188.64999999999998,2.480000000000018,2.480000000000018,1.0,TARGET,193.61,191.67,192.03607483295087,CONTINUATION
2026-02-13,LONG,20260213  16:05:00,20260213  16:10:00,20260213  16:30:00,183.73,184.885,182.18,184.885,1.549999999999983,1.1550000000000011,0.7451612903225896,TARGET,187.51,182.26,184.18602466256675,REVERSAL
2026-02-17,SHORT,20260217  15:50:00,20260217  15:55:00,20260217  17:05:00,179.87,183.42,183.42,176.32000000000002,3.549999999999983,-3.549999999999983,-1.0,STOP,183.42,181.01,181.72901080523147,CONTINUATION
2026-02-18,LONG,20260218  16:05:00,20260218  16:10:00,20260218  20:55:00,189.25,187.35,187.35,191.15,1.9000000000000057,-1.9000000000000057,-1.0,STOP,189.19,187.35,188.4316481443114,CONTINUATION
2026-02-19,LONG,20260219  15:45:00,20260219  15:50:00,20260219  15:50:00,186.01,186.595,185.66,186.595,0.3499999999999943,0.585000000000008,1.6714285714286212,TARGET,187.39,185.8,186.44456908319083,REVERSAL
2026-02-20,SHORT,20260220  15:45:00,20260220  15:50:00,20260220  16:00:00,188.05,188.7,188.7,187.19,0.6499999999999773,-0.6499999999999773,-1.0,STOP,188.45,185.93,187.65800466592884,REVERSAL
2026-02-23,LONG,20260223  16:15:00,20260223  16:20:00,20260223  16:30:00,191.4,190.92,190.92,192.64,0.4800000000000182,-0.4800000000000182,-1.0,STOP,193.95,191.33,192.5216162111421,REVERSAL
2026-02-24,LONG,20260224  16:50:00,20260224  16:55:00,20260224  21:55:00,192.26,192.81,187.4,197.11999999999998,4.859999999999985,0.5500000000000114,0.11316872427983807,SESSION_CLOSE,192.07,187.4,190.41648065811492,CONTINUATION
2026-02-25,LONG,20260225  15:55:00,20260225  16:00:00,20260225  21:55:00,195.83,195.94,193.79,197.87000000000003,2.0400000000000205,0.10999999999998522,0.0539215686274432,SESSION_CLOSE,195.0,193.79,194.80796745970528,CONTINUATION
2026-02-26,SHORT,20260226  15:50:00,20260226  15:55:00,20260226  21:55:00,189.28,184.87,194.29,184.27,5.009999999999991,4.409999999999997,0.8802395209580848,SESSION_CLOSE,194.29,189.41,190.45042678076743,CONTINUATION
2026-02-27,LONG,20260227  16:10:00,20260227  16:15:00,20260227  18:15:00,182.03,179.73,179.73,184.33,2.3000000000000114,-2.3000000000000114,-1.0,STOP,181.79,179.73,180.93301062527436,CONTINUATION
2026-03-02,LONG,20260302  16:10:00,20260302  16:15:00,20260302  21:55:00,180.69,182.35,174.65,186.73,6.039999999999992,1.6599999999999966,0.2748344370860925,SESSION_CLOSE,180.07,174.65,179.28770788238418,CONTINUATION
2026-03-03,SHORT,20260303  16:30:00,20260303  16:35:00,20260303  17:45:00,177.7,180.53,180.53,174.86999999999998,2.8300000000000125,-2.8300000000000125,-1.0,STOP,180.53,177.99,178.85594705327702,CONTINUATION
2026-03-04,SHORT,20260304  16:00:00,20260304  16:05:00,20260304  16:25:00,181.18,182.94,182.94,179.42000000000002,1.759999999999991,-1.759999999999991,-1.0,STOP,182.33,180.06,181.61058451286397,REVERSAL
2026-03-05,SHORT,20260305  16:00:00,20260305  16:05:00,20260305  16:25:00,182.11,181.63,182.8,181.63,0.6899999999999977,0.4800000000000182,0.6956521739130721,TARGET,182.46,180.8,181.7644646969008,REVERSAL
2026-03-06,LONG,20260306  15:50:00,20260306  15:55:00,20260306  21:10:00,181.8,179.64,179.64,183.96000000000004,2.160000000000025,-2.160000000000025,-1.0,STOP,181.55,179.64,181.11119872579758,CONTINUATION
2026-03-09,LONG,20260309  14:45:00,20260309  14:50:00,20260309  14:55:00,176.11,176.89,175.56,176.89,0.5500000000000114,0.7799999999999727,1.4181818181817392,TARGET,178.16,175.62,176.6818410293623,REVERSAL
2026-03-10,SHORT,20260310  14:45:00,20260310  14:50:00,20260310  14:55:00,183.54,182.785,183.87,182.785,0.3300000000000125,0.7549999999999955,2.2878787878786873,TARGET,183.56,182.01,182.93882463487537,REVERSAL
2026-03-11,SHORT,20260311  15:05:00,20260311  15:10:00,20260311  15:30:00,186.97,185.95499999999998,187.62,185.95499999999998,0.6500000000000057,1.0150000000000148,1.5615384615384706,TARGET,186.97,184.94,186.26443932321155,REVERSAL
2026-03-12,SHORT,20260312  14:50:00,20260312  14:55:00,20260312  17:00:00,182.89,184.86,184.86,180.91999999999996,1.9700000000000273,-1.9700000000000273,-1.0,STOP,184.86,183.52,183.83384710255356,CONTINUATION
2026-03-13,SHORT,20260313  15:05:00,20260313  15:10:00,20260313  16:00:00,184.01,181.92999999999998,186.09,181.92999999999998,2.0800000000000125,2.0800000000000125,1.0,TARGET,186.09,184.41,185.02640726059477,CONTINUATION
2026-03-16,SHORT,20260316  18:30:00,20260316  18:35:00,20260316  19:05:00,184.74,185.06,185.06,183.945,0.3199999999999932,-0.3199999999999932,-1.0,STOP,185.05,182.84,184.26579477625788,REVERSAL
2026-03-17,SHORT,20260317  15:00:00,20260317  15:05:00,20260317  20:55:00,182.58,181.96,185.4,179.76000000000002,2.819999999999993,0.6200000000000045,0.21985815602837094,SESSION_CLOSE,185.4,183.26,183.67936580701888,CONTINUATION
2026-03-18,LONG,20260318  16:05:00,20260318  16:10:00,20260318  20:40:00,183.01,180.72,180.72,185.29999999999998,2.289999999999992,-2.289999999999992,-1.0,STOP,182.82,180.72,182.2433275393534,CONTINUATION
2026-03-19,LONG,20260319  15:15:00,20260319  15:20:00,20260319  20:55:00,178.1,178.5,175.78,180.42,2.319999999999993,0.4000000000000057,0.17241379310345123,SESSION_CLOSE,178.03,175.78,177.04891872413197,CONTINUATION
2026-03-20,SHORT,20260320  15:00:00,20260320  15:05:00,20260320  19:35:00,176.02,173.78000000000003,178.26,173.78000000000003,2.2399999999999807,2.2399999999999807,1.0,TARGET,178.26,176.75,177.12355429422018,CONTINUATION
2026-03-23,LONG,20260323  15:25:00,20260323  15:30:00,20260323  16:50:00,177.87,175.87,175.87,179.87,2.0,-2.0,-1.0,STOP,177.68,175.87,177.26454590693945,CONTINUATION
2026-03-24,LONG,20260324  15:05:00,20260324  15:10:00,20260324  15:10:00,174.84,174.09,174.09,175.15,0.75,-0.75,-1.0,STOP,175.9,174.4,174.9411552562753,REVERSAL
