session_date,direction,signal_timestamp,entry_timestamp,exit_timestamp,entry_price,exit_price,stop_price,target_price,risk_per_share,pnl_per_share,r_multiple,exit_reason,or_high,or_low,vwap_at_signal,setup_type
2026-01-02,SHORT,20260102  16:00:00,20260102  16:05:00,20260102  16:15:00,191.82,190.745,192.93,190.745,1.1100000000000136,1.0749999999999886,0.9684684684684464,TARGET,191.92,189.57,191.5013676306478,REVERSAL
2026-01-05,LONG,20260105  16:00:00,20260105  16:05:00,20260105  16:40:00,190.16,189.39,189.39,191.69,0.7700000000000102,-0.7700000000000102,-1.0,STOP,193.63,189.75,191.19735306002883,REVERSAL
2026-01-12,SHORT,20260112  18:35:00,20260112  18:40:00,20260112  19:35:00,186.12,186.9,186.9,184.64999999999998,0.7800000000000011,-0.7800000000000011,-1.0,STOP,186.2,183.1,185.07446040306442,REVERSAL
2026-01-13,LONG,20260113  16:30:00,20260113  16:35:00,20260113  16:40:00,183.97,183.61,183.61,184.385,0.3599999999999852,-0.3599999999999852,-1.0,STOP,185.14,183.63,184.2879196073675,REVERSAL
2026-01-15,SHORT,20260115  15:45:00,20260115  15:50:00,20260115  16:25:00,188.55,187.59,189.18,187.59,0.6299999999999955,0.960000000000008,1.5238095238095475,TARGET,188.82,186.36,187.65837621674615,REVERSAL
2026-01-16,LONG,20260116  16:00:00,20260116  16:05:00,20260116  16:15:00,188.94,188.45,188.45,189.525,0.4900000000000091,-0.4900000000000091,-1.0,STOP,190.37,188.68,189.5152217427847,REVERSAL
2026-01-20,LONG,20260120  15:55:00,20260120  16:00:00,20260120  16:30:00,179.92,181.035,179.58,181.035,0.339999999999975,1.115000000000009,3.2794117647061505,TARGET,182.38,179.69,180.68007415011246,REVERSAL
2026-01-22,LONG,20260122  16:00:00,20260122  16:05:00,20260122  16:25:00,184.27,185.135,183.93,185.135,0.3400000000000034,0.8649999999999807,2.544117647058741,TARGET,186.16,184.11,184.8161840508814,REVERSAL
2026-01-26,LONG,20260126  16:00:00,20260126  16:05:00,20260126  16:10:00,187.3,186.85,186.85,188.07,0.45000000000001705,-0.45000000000001705,-1.0,STOP,189.12,187.02,187.9145886842402,REVERSAL
2026-01-28,SHORT,20260128  16:00:00,20260128  16:05:00,20260128  16:30:00,191.77,191.22500000000002,192.35,191.22500000000002,0.5799999999999841,0.5449999999999875,0.9396551724137974,TARGET,192.33,190.12,191.54897585419533,REVERSAL
