opening_range_bars,full_session_bars,target_r,include_partial_sessions,mode,hold_bars,vwap_slope_lookback,vwap_slope_min,max_vwap_distance_or_width,min_or_width_bps,max_or_width_bps,max_failure_bars,wick_ratio_threshold,reversal_target_mode,allow_long,allow_short,sessions_tested,sessions_skipped,trade_count,win_rate,gross_pnl_per_share,average_r,median_r,max_drawdown_per_share,long_count,short_count,continuation_count,reversal_count,buy_hold_pnl_per_share,daily_open_close_long_pnl_per_share,daily_after_or_long_pnl_per_share
3,78,0.75,False,continuation,1,0,0.0,,0.0,,2,0.0,OR_MID,True,True,91,2,89,0.6067415730337079,20.027499999999947,0.09386463650434085,0.4956521739130351,12.249999999999972,49,40,89,0,35.99000000000001,14.109999999999985,-6.620000000000033
3,78,0.75,False,continuation,1,0,0.0,,40.0,,2,0.0,OR_MID,True,True,91,2,89,0.6067415730337079,20.027499999999947,0.09386463650434085,0.4956521739130351,12.249999999999972,49,40,89,0,35.99000000000001,14.109999999999985,-6.620000000000033
3,78,0.75,False,continuation,1,0,0.0,1.0,0.0,,2,0.0,OR_MID,True,True,91,2,89,0.6067415730337079,20.027499999999947,0.09386463650434085,0.4956521739130351,12.249999999999972,49,40,89,0,35.99000000000001,14.109999999999985,-6.620000000000033
3,78,0.75,False,continuation,1,0,0.0,1.0,40.0,,2,0.0,OR_MID,True,True,91,2,89,0.6067415730337079,20.027499999999947,0.09386463650434085,0.4956521739130351,12.249999999999972,49,40,89,0,35.99000000000001,14.109999999999985,-6.620000000000033
3,78,0.75,False,continuation,1,0,0.0,2.0,0.0,,2,0.0,OR_MID,True,True,91,2,89,0.6067415730337079,20.027499999999947,0.09386463650434085,0.4956521739130351,12.249999999999972,49,40,89,0,35.99000000000001,14.109999999999985,-6.620000000000033
3,78,0.75,False,continuation,1,0,0.0,2.0,40.0,,2,0.0,OR_MID,True,True,91,2,89,0.6067415730337079,20.027499999999947,0.09386463650434085,0.4956521739130351,12.249999999999972,49,40,89,0,35.99000000000001,14.109999999999985,-6.620000000000033
3,78,0.75,False,hybrid,1,0,0.0,,0.0,,2,0.4,OR_MID,True,True,91,2,89,0.5842696629213483,19.212499999999807,0.15423422385465588,0.384858044164039,7.649999999999977,53,36,65,24,35.99000000000001,14.109999999999985,-6.620000000000033
3,78,0.75,False,hybrid,1,0,0.0,,40.0,,2,0.4,OR_MID,True,True,91,2,89,0.5842696629213483,19.212499999999807,0.15423422385465588,0.384858044164039,7.649999999999977,53,36,65,24,35.99000000000001,14.109999999999985,-6.620000000000033
3,78,0.75,False,hybrid,1,0,0.0,1.0,0.0,,2,0.4,OR_MID,True,True,91,2,89,0.5842696629213483,19.212499999999807,0.15423422385465588,0.384858044164039,7.649999999999977,53,36,65,24,35.99000000000001,14.109999999999985,-6.620000000000033
3,78,0.75,False,hybrid,1,0,0.0,1.0,40.0,,2,0.4,OR_MID,True,True,91,2,89,0.5842696629213483,19.212499999999807,0.15423422385465588,0.384858044164039,7.649999999999977,53,36,65,24,35.99000000000001,14.109999999999985,-6.620000000000033
3,78,0.75,False,hybrid,1,0,0.0,2.0,0.0,,2,0.4,OR_MID,True,True,91,2,89,0.5842696629213483,19.212499999999807,0.15423422385465588,0.384858044164039,7.649999999999977,53,36,65,24,35.99000000000001,14.109999999999985,-6.620000000000033
3,78,0.75,False,hybrid,1,0,0.0,2.0,40.0,,2,0.4,OR_MID,True,True,91,2,89,0.5842696629213483,19.212499999999807,0.15423422385465588,0.384858044164039,7.649999999999977,53,36,65,24,35.99000000000001,14.109999999999985,-6.620000000000033
3,78,0.75,False,continuation,1,3,0.0,,0.0,,2,0.0,OR_MID,True,True,91,2,89,0.6067415730337079,19.197499999999962,0.09386463650434085,0.4956521739130351,12.249999999999972,49,40,89,0,35.99000000000001,14.109999999999985,-6.620000000000033
3,78,0.75,False,continuation,1,3,0.0,,40.0,,2,0.0,OR_MID,True,True,91,2,89,0.6067415730337079,19.197499999999962,0.09386463650434085,0.4956521739130351,12.249999999999972,49,40,89,0,35.99000000000001,14.109999999999985,-6.620000000000033
